strain	predicted_date
1507_C1_13268_EMLH	2015-06-20 17:01:22.946263
1507_C1_18650_EMLH	2015-07-09 15:30:29.058324
1507_C1_18660_EMLH	2015-07-09 16:09:12.831517
1708_C1_13031_EMLH	2015-05-19 15:22:32.965795
2607_C2_12855_EMLH	2015-04-12 15:23:57.752782
2607_C2_12916_EMLH	2015-04-27 14:59:26.875707
J0169	2014-11-06 18:27:18.050710
Makona-G4415.1	2014-07-16 07:45:03.734838
NODE_0000171	2014-07-10 14:53:12.461644
Makona-G4312.2	2014-07-12 15:26:38.386632
Makona-G4942.1	2014-08-10 15:24:52.052709
Makona-G4702.1	2014-08-03 14:49:50.423070
Makona-G4422.1	2014-07-16 15:13:02.280980
LIBR0430	2014-12-02 14:15:46.636449
NODE_0000169	2014-06-02 08:33:52.098113
NODE_0000182	2014-06-02 11:16:40.942169
NODE_0000114	2014-06-02 14:44:51.031252
NODE_0000117	2014-06-02 21:04:24.492117
NODE_0000118	2014-06-03 14:32:14.429441
NODE_0000119	2014-06-09 22:41:42.697264
NODE_0000123	2014-06-14 23:37:25.891844
NODE_0000124	2014-06-19 15:56:42.079283
NODE_0000125	2014-06-30 12:18:00.942808
Makona-G4236.1	2014-07-09 15:23:18.667418
Makona-G4250.1	2014-07-09 15:23:18.667418
Makona-G3917.1	2014-06-20 15:47:31.252256
G3840	2014-06-17 15:26:56.938292
G3814	2014-06-13 15:20:18.381773
G3735	2014-06-03 17:40:12.077223
NM042	2014-06-02 22:23:54.391330
NODE_0000115	2014-06-02 16:06:25.239266
EM111	2014-06-02 17:27:57.795147
EM110	2014-06-02 17:27:57.795147
G3707	2014-06-02 12:12:04.062024
Makona-G4252.1	2014-07-09 15:11:47.915984
NODE_0000188	2014-08-29 19:33:25.202638
NODE_0000190	2015-01-13 02:38:13.044435
NODE_0000191	2015-02-09 05:40:19.277345
NODE_0000205	2015-03-22 14:15:26.894532
NODE_0000159	2015-03-28 07:39:30.182191
NODE_0000210	2015-05-28 12:44:11.212464
NODE_0000212	2015-06-25 14:27:21.239320
NODE_0000166	2015-07-04 16:29:00.500794
1807_C1_PL9150Rb	2015-07-12 15:24:47.183534
1807_C1_PL9199Rb	2015-07-12 15:24:47.183534
Combined_PL9192	2015-07-12 15:51:17.866517
1807_C1_PL9150R	2015-07-12 15:50:25.461732
1807_C1_PL8310b	2015-06-20 15:43:14.852601
1807_C1_15327_EMLK	2015-06-06 15:23:19.347840
NODE_0000161	2015-04-10 14:19:56.375428
NODE_0000162	2015-04-23 21:26:50.367738
NODE_0000163	2015-05-08 13:30:53.385316
0806_C1_PL7376	2015-05-26 15:21:08.583070
2906_C1_PL8172	2015-06-17 15:30:19.657289
1807_C1_15360_EMLK	2015-06-06 15:22:31.310121
1507_C2_15674_EMLK	2015-06-28 15:01:45.213319
1807_C2_14846_EMLK	2015-04-27 16:06:15.710450
NODE_0000193	2015-02-25 02:34:30.653688
NODE_0000194	2015-05-29 01:32:26.947633
NODE_0000195	2015-06-13 06:02:22.992555
NODE_0000196	2015-07-08 11:09:47.828980
NODE_0000198	2015-08-24 23:01:41.354371
NODE_0000157	2015-08-28 22:22:36.487428
NODE_0000158	2015-09-01 20:47:41.051332
1009_C1_20524_EMLK	2015-09-05 15:30:29.586183
1009_C1_20547_EMLK	2015-09-05 15:30:29.586183
0809_C1_020484_EMLK_A	2015-09-01 15:30:18.359529
0109_C2_020380_EMLK	2015-08-25 16:20:00.740777
1209_C1_20573_EMLK	2015-09-09 15:52:14.267579
NODE_0000155	2015-08-15 05:29:35.670777
0809_C1_19560_EMLK_E	2015-09-05 15:07:37.421266
1009_C1_20525_EMLK	2015-09-05 15:07:37.421266
1807_C1_15421_EMLK	2015-06-13 16:43:49.288732
2208_C2_15207R_EMLK	2015-05-30 16:20:03.701936
1807_C2_14763_EMLK	2015-04-19 15:31:31.796266
NODE_0000203	2015-04-16 05:42:08.701173
1706_C1_PL7709	2015-06-06 14:24:19.182130
0106_C2_PL7375	2015-05-26 15:50:10.341798
1706_C1_PL7801	2015-06-09 13:59:18.559571
0205_C2_PL6049	2015-04-08 16:02:15.769044
2906_C1_PL4483	2015-03-07 15:31:24.792481
J0137	2014-10-30 16:23:29.304200
J0053	2014-10-04 15:15:36.232911
NODE_0000137	2014-07-15 06:18:52.668458
NODE_0000146	2014-12-25 17:33:01.252442
NODE_0000147	2015-01-03 12:14:52.727052
NODE_0000148	2015-02-21 15:58:56.037599
NODE_0000150	2015-03-26 12:56:23.107911
0205_C2_PL5950	2015-04-08 15:13:55.708009
2605_C2_PL5534	2015-03-28 15:40:46.846162
0807_C1_PL4813	2015-03-14 16:16:23.803712
0507_C1_PL4283	2015-03-03 15:16:00.045777
1507_C2_MK0866	2015-01-03 19:06:14.829827
0807_C1_PL4119	2015-02-27 15:15:02.944337
NODE_0000131	2014-07-27 02:55:52.675782
NODE_0000133	2014-08-11 03:07:32.807008
NODE_0000134	2014-08-28 10:39:08.058473
J0042	2014-10-04 15:45:26.976930
J0134	2014-10-30 14:50:06.688844
2507_C2_10212_EMLK	2015-01-29 15:08:14.994508
J0016	2014-09-27 15:17:59.274903
NODE_0000144	2014-12-14 03:33:42.561036
DML25083	2015-02-16 15:14:33.610841
DML24573	2015-01-18 16:41:33.984376
NODE_0000138	2015-02-01 17:16:14.025880
2807_C2_567_EMLH	2015-02-02 17:29:02.907487
2607_C1_592_EMLH	2015-02-05 15:33:24.742585
J0112	2014-10-30 16:21:00.988771
NODE_0000160	2014-06-21 04:10:39.547120
V20141643	2014-10-04 15:22:21.134034
Makona-G4419.1	2014-07-16 15:56:22.943116
NODE_0000156	2014-06-20 21:44:44.212647
V1211	2014-10-01 15:25:58.992921
Makona-G4416.1	2014-07-16 15:55:11.092530
NODE_0000132	2014-07-09 12:08:52.814942
V653	2014-08-14 14:42:42.319337
V20140729	2014-09-09 17:10:50.368653
Makona-G4348.1	2014-07-09 15:44:18.010255
G3770	2014-06-08 06:12:47.894898
Makona-G5059.1	2014-08-18 16:33:35.749513
G3809	2014-06-13 15:19:29.417726
G3827	2014-06-13 15:19:29.417726
NODE_0000116	2014-06-28 21:55:52.950440
NODE_0000120	2014-07-28 04:13:15.443116
NODE_0000126	2014-08-02 04:53:13.538819
NODE_0000121	2014-10-24 17:32:12.967530
NODE_0000122	2014-11-24 09:53:41.938478
NODE_0000108	2014-12-02 17:52:44.315187
EM_004437	2015-01-03 15:27:39.682618
EM_004085	2014-12-16 15:15:19.423829
EM_004059	2014-12-20 16:13:04.072267
EM_004422	2014-12-31 15:16:08.203126
EM_076403	2014-10-26 15:29:25.429460
NODE_0000102	2014-08-06 06:29:23.050233
EM_074548	2014-08-07 15:33:26.823121
V768	2014-08-25 15:05:38.398133
NODE_0000129	2014-08-10 10:01:28.967286
V1561	2014-10-19 15:05:10.012208
V633	2014-08-10 16:19:14.572450
NODE_0000127	2014-08-16 14:08:30.952149
EM_078639	2014-12-02 16:56:25.854493
EM_078556	2014-11-28 14:51:01.977540
NODE_0000096	2014-07-13 22:45:00.142823
NODE_0000098	2014-08-06 06:36:22.576905
LIBR10110	2014-08-18 15:24:41.374513
LIBR0505	2014-12-09 15:09:52.635499
LIBR10035	2014-08-14 15:31:25.616456
LIBR0177	2014-11-13 16:19:24.913331
NODE_0000038	2014-07-02 04:44:37.730714
NODE_0000041	2014-08-10 05:54:39.342042
NODE_0000044	2014-11-02 16:06:07.305909
NODE_0000045	2015-12-20 02:51:59.161378
NODE_0000109	2016-01-31 03:05:44.124757
NODE_0000090	2016-02-22 12:43:05.830079
NODE_0000094	2016-03-09 05:28:45.078736
EM_NG_2016_029417	2016-03-20 15:24:03.224488
NZG_0381	2016-03-24 15:15:23.296510
EM_NG_2016_029366	2016-03-17 14:59:51.628419
